"","Df","SS","MS","Rsq","F","Z","Pr(>F)"
"log(Csize)",1,0.0279759815466593,0.0279759815466593,0.0311707554769137,2.83127960626197,2.20088898226082,0.015
"Residuals",88,0.869531349239063,0.00988103805953481,0.968829244523086,NA,NA,NA
"Total",89,0.897507330785722,NA,NA,NA,NA,NA
