"","Df","SS","MS","Rsq","F","Z","Pr(>F)"
"log(height)",1,0.0348146823857356,0.0348146823857356,0.038790415622853,3.82318344411336,2.85334633743273,0.003
"location",2,0.0795592390462487,0.0397796195231244,0.0886446676447742,4.36840931331461,3.57980511072092,0.001
"Residuals",86,0.783133409353738,0.00910620243434579,0.872564916732373,NA,NA,NA
"Total",89,0.897507330785722,NA,NA,NA,NA,NA
